# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
40

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TCZFITCZEU,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333332999993459e+00, 0.000000000000000000e+00, 8.333365941695650037e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,30,17
# x,y,z,u,w
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 2.500000000000000000e-01
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 7.500000000000000000e-01
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 1.250000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660865540e+00, 0.000000000000000000e+00, 1.750000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 2.250000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660865540e+00, 0.000000000000000000e+00, 2.500000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660866428e+00, 0.000000000000000000e+00, 2.750000000000000000e+00
8.333333332999993459e+00, 0.000000000000000000e+00, 7.029018115660865540e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
8.333333332999993459e+00, -1.850371707708594131e-17, 7.029018115660865540e+00, 0.000000000000000000e+00, 3.250000000000000000e+00
